"﻿We''ll help you find the perfect Interior Designer to match your needs, lets start with some simple questions",Interior Designers,designers,an interior designers,interior designer,interior design,interior designers,an interior designer,Interior Designer,https://s3-ap-southeast-1.amazonaws.com/urbanclap-prod/categories/home_screen/categories/interior-designer.jpg,https://web.archive.org/web/20160917183250/https://s3-ap-southeast-1.amazonaws.com/urbanclap-prod/categories/interier-designer.png,https://web.archive.org/web/20160917183250/https://s3-ap-southeast-1.amazonaws.com/urbanclap-prod/categories/bigpictures/interiordesign.jpg,1,home
"We''ll send a professionally trained electrician to fix your home, just book an appointment here",Electrician,electricians,an electrician,electrician,electrical fixing,electricians,an electrician,Electrician,https://s3-ap-southeast-1.amazonaws.com/urbanclap-prod/categories/home_screen/electrician.jpg,https://web.archive.org/web/20160917183250/https://s3-ap-southeast-1.amazonaws.com/urbanclap-prod/categories/electrician.png,https://web.archive.org/web/20160917183250/https://s3-ap-southeast-1.amazonaws.com/urbanclap-prod/categories/bigpictures/electrician.jpg,2,home
"We''ll send a professionally trained plumber to fix your home, just book an appointment here",Plumbers,plumbers,a plumber,plumber,plumbing,plumbers,a plumber,Plumber,https://s3-ap-southeast-1.amazonaws.com/urbanclap-prod/categories/home_screen/plumber.jpg,https://web.archive.org/web/20160917183250/https://s3-ap-southeast-1.amazonaws.com/urbanclap-prod/categories/plumber.png,https://web.archive.org/web/20160917183250/https://s3-ap-southeast-1.amazonaws.com/urbanclap-prod/categories/bigpictures/plumber.jpg,3,home
"We''ll send a professionally trained carpenter to fix your home, just book an appointment here",Carpenters,carpenters,a carpenter,carpenter,carpenter service,carpenters,a carpenter,Carpenter,https://s3-ap-southeast-1.amazonaws.com/urbanclap-prod/categories/home_screen/carpenter.jpg,https://web.archive.org/web/20160917183250/https://s3-ap-southeast-1.amazonaws.com/urbanclap-prod/categories/carpenter.png,https://web.archive.org/web/20160917183250/https://s3-ap-southeast-1.amazonaws.com/urbanclap-prod/categories/bigpictures/carpenter.jpg,4,home
"We''ll send a professionally trained painter to paint your home, just book an appointment here",House Painters,painters,a painter,house painter,painting,house painters,a painter,House Painters,https://s3-ap-southeast-1.amazonaws.com/urbanclap-prod/categories/bigpictures/house_painters.jpg,https://web.archive.org/web/20160917183250/https://s3-ap-southeast-1.amazonaws.com/urbanclap-prod/categories/house_painters.png,https://web.archive.org/web/20160917183250/https://s3-ap-southeast-1.amazonaws.com/urbanclap-prod/categories/bigpictures/house_painters.jpg,27,home
"We''ll help you find the perfect DJ For Weddings / Events to match your needs, lets start with some simple questions",DJs For Weddings / Events,DJs,a DJ,DJ,playing music,DJs,a DJ,DJ for Weddings and Events,https://s3-ap-southeast-1.amazonaws.com/urbanclap-prod/categories/home_screen/categories/nonbooking/Dj.jpg,https://web.archive.org/web/20160917183250/https://s3-ap-southeast-1.amazonaws.com/urbanclap-prod/categories/djs.png,https://web.archive.org/web/20160917183250/https://s3-ap-southeast-1.amazonaws.com/urbanclap-prod/categories/bigpictures/dj.jpg,51,eventsnweddings
"We''ll find you the perfect wedding caterers to match your needs, lets start with some simple questions",Wedding Caterers,caterers,a caterer,wedding caterer,catering,wedding caterers,a caterer,Wedding Caterers,https://s3-ap-southeast-1.amazonaws.com/urbanclap-prod/categories/home_screen/categories/nonbooking/Wedding_Caterers.jpg,https://web.archive.org/web/20160917183250/https://s3-ap-southeast-1.amazonaws.com/urbanclap-prod/categories/caterers.png,https://web.archive.org/web/20160917183250/https://s3-ap-southeast-1.amazonaws.com/urbanclap-prod/categories/bigpictures/version-2-2/android/wedding_catering.jpg,52,eventsnweddings
Hire Trusted and Verified Professionals,UrbanClap Videographers,Videographer,Videographer,Videographer,Videography,Videographers,Videographer,UrbanClap Videographers,,https://web.archive.org/web/20160917183250/https://s3-ap-southeast-1.amazonaws.com/urbanclap-prod/categories/corporate_event_photographers.png,https://web.archive.org/web/20160917183250/https://s3-ap-southeast-1.amazonaws.com/urbanclap-prod/categories/bigpictures/corporate_event_photographers.jpg,28,home
"The pest control teams will use genuine and approved chemicals to completely disinfect your home, just book an appointment here",Pest Control,pest control services,a pest control agent,pest control agent,pest control service,pest control services,a pest control agent,Pest Control,https://s3-ap-southeast-1.amazonaws.com/urbanclap-prod/categories/home_screen/categories/new/pest-control.jpg,https://web.archive.org/web/20160917183250/https://s3-ap-southeast-1.amazonaws.com/urbanclap-prod/categories/pest-control.png,https://web.archive.org/web/20160917183250/https://s3-ap-southeast-1.amazonaws.com/urbanclap-prod/categories/bigpictures/pestcontrol.jpg,5,home
"Our cleaning package includes dusting, vacuuming, window cleaning, disinfecting toilets, and end to end cleaning. Book an appointment here",Home Deep Cleaning,cleaners,a home cleaner,home cleaner,home cleaning,home cleaners,a home cleaner,Home Deep Cleaning,https://s3-ap-southeast-1.amazonaws.com/urbanclap-prod/categories/home_screen/categories/Home-cleaning.jpg,https://web.archive.org/web/20160917183250/https://s3-ap-southeast-1.amazonaws.com/urbanclap-prod/categories/home-cleaning.png,https://web.archive.org/web/20160917183250/https://s3-ap-southeast-1.amazonaws.com/urbanclap-prod/categories/bigpictures/homecleaning.jpg,6,home
